geo,year,unit,leg_stat,citizen,value
Austria,2009,P_HTHAB,PER_PRSC,FOR,
Austria,2009,P_HTHAB,PER_SUSP,FOR,837.32
Austria,2010,NR,PER_CNV,FOR,12062.0
Austria,2010,NR,PER_PRSC,FOR,
Austria,2010,NR,PER_SUSP,FOR,69188.0
Austria,2010,P_HTHAB,PER_CNV,FOR,144.43
Austria,2010,P_HTHAB,PER_PRSC,FOR,
Austria,2010,P_HTHAB,PER_SUSP,FOR,828.44
Austria,2011,NR,PER_CNV,FOR,11625.0
Austria,2011,NR,PER_PRSC,FOR,
Austria,2011,NR,PER_SUSP,FOR,76764.0
Austria,2011,P_HTHAB,PER_CNV,FOR,138.8
Austria,2011,P_HTHAB,PER_PRSC,FOR,
Austria,2011,P_HTHAB,PER_SUSP,FOR,916.57
Austria,2012,NR,PER_CNV,FOR,11795.0
Austria,2012,NR,PER_PRSC,FOR,
Austria,2012,NR,PER_SUSP,FOR,80874.0
Austria,2012,P_HTHAB,PER_CNV,FOR,140.28
Austria,2012,P_HTHAB,PER_PRSC,FOR,
Austria,2012,P_HTHAB,PER_SUSP,FOR,961.86
Austria,2013,NR,PER_CNV,FOR,12107.0
Austria,2013,NR,PER_PRSC,FOR,
Austria,2013,NR,PER_SUSP,FOR,85376.0
Austria,2013,P_HTHAB,PER_CNV,FOR,143.25
Austria,2013,P_HTHAB,PER_PRSC,FOR,
Austria,2013,P_HTHAB,PER_SUSP,FOR,1010.14
Austria,2014,NR,PER_CNV,FOR,12210.0
Austria,2014,NR,PER_PRSC,FOR,
Austria,2014,NR,PER_SUSP,FOR,89594.0
Austria,2014,P_HTHAB,PER_CNV,FOR,143.53
Austria,2014,P_HTHAB,PER_PRSC,FOR,
Austria,2014,P_HTHAB,PER_SUSP,FOR,1053.19
Austria,2015,NR,PER_CNV,FOR,12857.0
Austria,2015,NR,PER_PRSC,FOR,100954.0
Austria,2015,NR,PER_SUSP,FOR,92804.0
Austria,2015,P_HTHAB,PER_CNV,FOR,149.91
Austria,2015,P_HTHAB,PER_PRSC,FOR,1177.13
Austria,2015,P_HTHAB,PER_SUSP,FOR,1082.1
Austria,2016,NR,PER_CNV,FOR,12520.0
Austria,2016,NR,PER_PRSC,FOR,
Austria,2016,NR,PER_SUSP,FOR,105551.0
Austria,2016,P_HTHAB,PER_CNV,FOR,143.9
Austria,2016,P_HTHAB,PER_PRSC,FOR,
Austria,2016,P_HTHAB,PER_SUSP,FOR,1213.16
Austria,2017,NR,PER_CNV,FOR,13001.0
Austria,2017,NR,PER_PRSC,FOR,
Austria,2017,NR,PER_SUSP,FOR,105812.0
Austria,2017,P_HTHAB,PER_CNV,FOR,148.2
Austria,2017,P_HTHAB,PER_PRSC,FOR,
Austria,2017,P_HTHAB,PER_SUSP,FOR,1206.13
Austria,2018,NR,PER_CNV,FOR,12033.0
Austria,2018,NR,PER_PRSC,FOR,
Austria,2018,NR,PER_SUSP,FOR,115258.0
Austria,2018,P_HTHAB,PER_CNV,FOR,136.39
Austria,2018,P_HTHAB,PER_PRSC,FOR,
Austria,2018,P_HTHAB,PER_SUSP,FOR,1306.44
Austria,2019,NR,PER_CNV,FOR,11665.0
Austria,2019,NR,PER_PRSC,FOR,
Austria,2019,NR,PER_SUSP,FOR,122067.0
Austria,2019,P_HTHAB,PER_CNV,FOR,131.68
Austria,2019,P_HTHAB,PER_PRSC,FOR,
Austria,2019,P_HTHAB,PER_SUSP,FOR,1377.92
Austria,2020,NR,PER_CNV,FOR,9665.0
Austria,2020,NR,PER_PRSC,FOR,
Austria,2020,NR,PER_SUSP,FOR,109161.0
Austria,2020,P_HTHAB,PER_CNV,FOR,108.58
Austria,2020,P_HTHAB,PER_PRSC,FOR,
Austria,2020,P_HTHAB,PER_SUSP,FOR,1226.38
Austria,2021,NR,PER_CNV,FOR,9795.0
Austria,2021,NR,PER_PRSC,FOR,
Austria,2021,NR,PER_SUSP,FOR,104070.0
Austria,2021,P_HTHAB,PER_CNV,FOR,109.65
Austria,2021,P_HTHAB,PER_PRSC,FOR,
Austria,2021,P_HTHAB,PER_SUSP,FOR,1165.05
